# time	Trigger	RGA	Intrepid	Pockels_Monitor	
5.499999999999999748e-11	-6.249999999999977796e-03	6.750000000000033751e-03	9.499999999999952927e-03	3.750000000000003331e-03
2.149999999999999813e-10	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
3.749999999999999975e-10	1.000000000000000888e-02	-2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.350000000000000137e-10	-1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
6.949999999999999781e-10	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
8.549999999999999426e-10	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.014999999999999907e-09	1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.174999999999999768e-09	-1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.334999999999999836e-09	-2.999999999999997113e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.494999999999999904e-09	-1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.654999999999999765e-09	1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.814999999999999833e-09	-1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.974999999999999901e-09	-1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
2.134999999999999762e-09	-1.000000000000000888e-02	-2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.294999999999999623e-09	-1.000000000000000888e-02	-2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.454999999999999898e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.614999999999999759e-09	-1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.774999999999999620e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
2.934999999999999894e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.094999999999999755e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.254999999999999616e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.414999999999999891e-09	1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
3.574999999999999752e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
3.735000000000000027e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.895000000000000302e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
4.054999999999999749e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
4.215000000000000024e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
4.375000000000000298e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
4.534999999999999746e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
4.695000000000000020e-09	-1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
4.855000000000000295e-09	-1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.014999999999999743e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.175000000000000017e-09	-1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
5.335000000000000292e-09	1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
5.494999999999999739e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.655000000000000014e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.815000000000000289e-09	-2.999999999999997113e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.974999999999999736e-09	-2.999999999999997113e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
6.135000000000000011e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
6.295000000000000286e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	2.000000000000000389e-02
6.454999999999999733e-09	-1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	2.000000000000000389e-02
6.615000000000000008e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
6.775000000000000282e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
6.934999999999999730e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
