# time	Trigger	RGA	Intrepid	Pockels_Monitor	
7.999999999999999516e-11	1.374999999999998446e-02	2.750000000000030198e-03	1.499999999999945821e-03	3.750000000000003331e-03
2.399999999999999984e-10	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.999999999999999629e-10	-1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
5.600000000000000307e-10	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
7.199999999999999952e-10	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
8.799999999999999597e-10	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.039999999999999924e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.199999999999999785e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.359999999999999853e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.519999999999999921e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.679999999999999782e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.839999999999999850e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.000000000000000125e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
2.159999999999999986e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
2.319999999999999847e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
2.480000000000000121e-09	-1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	2.000000000000000389e-02
2.639999999999999982e-09	1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.799999999999999844e-09	1.000000000000000888e-02	-2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
2.960000000000000118e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.119999999999999979e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.279999999999999840e-09	-1.000000000000000888e-02	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.440000000000000115e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
3.599999999999999976e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.759999999999999424e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
3.919999999999999698e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
4.079999999999999146e-09	1.000000000000000888e-02	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
4.239999999999999420e-09	-1.000000000000000888e-02	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
4.399999999999999695e-09	1.000000000000000888e-02	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
